cluster_id,group,cluster_size,image,representative,score_to_representative
stroller_reviewed_window10_000031,stroller_reviewed,2,images/01957_1784107351683328_0.jpg,images/01957_1784107351683328_0.jpg,1.00000000
stroller_reviewed_window10_000031,stroller_reviewed,2,images/01958_1784107351977329_0.jpg,images/01957_1784107351683328_0.jpg,0.99772567
stroller_reviewed_window10_000032,stroller_reviewed,2,images/02708_1784426900103032_0.jpg,images/02708_1784426900103032_0.jpg,1.00000000
stroller_reviewed_window10_000032,stroller_reviewed,2,images/02709_1784426900385034_0.jpg,images/02708_1784426900103032_0.jpg,0.99766552
stroller_reviewed_window10_000033,stroller_reviewed,2,images/02352_1784277250007585_0.jpg,images/02352_1784277250007585_0.jpg,1.00000000
stroller_reviewed_window10_000033,stroller_reviewed,2,images/02353_1784277250393586_0.jpg,images/02352_1784277250007585_0.jpg,0.99756336
stroller_reviewed_window10_000034,stroller_reviewed,2,images/02348_1784277219797579_0.jpg,images/02348_1784277219797579_0.jpg,1.00000000
stroller_reviewed_window10_000034,stroller_reviewed,2,images/02349_1784277220142580_0.jpg,images/02348_1784277219797579_0.jpg,0.99756181
stroller_reviewed_window10_000035,stroller_reviewed,2,images/02994_1784445402751543_0.jpg,images/02994_1784445402751543_0.jpg,1.00000000
stroller_reviewed_window10_000035,stroller_reviewed,2,images/02995_1784445402972545_0.jpg,images/02994_1784445402751543_0.jpg,0.99751985
stroller_reviewed_window10_000036,stroller_reviewed,2,images/02346_1784277204744576_0.jpg,images/02346_1784277204744576_0.jpg,1.00000000
stroller_reviewed_window10_000036,stroller_reviewed,2,images/02347_1784277205086577_0.jpg,images/02346_1784277204744576_0.jpg,0.99728155
stroller_reviewed_window10_000037,stroller_reviewed,2,images/02342_1784277174639570_0.jpg,images/02342_1784277174639570_0.jpg,1.00000000
stroller_reviewed_window10_000037,stroller_reviewed,2,images/02343_1784277174875571_0.jpg,images/02342_1784277174639570_0.jpg,0.99722844
stroller_reviewed_window10_000038,stroller_reviewed,2,images/01948_1784105498225981_0.jpg,images/01948_1784105498225981_0.jpg,1.00000000
stroller_reviewed_window10_000038,stroller_reviewed,2,images/01949_1784105498746982_0.jpg,images/01948_1784105498225981_0.jpg,0.99709278
stroller_reviewed_window10_000039,stroller_reviewed,2,images/02361_1784277325370600_0.jpg,images/02361_1784277325370600_0.jpg,1.00000000
stroller_reviewed_window10_000039,stroller_reviewed,2,images/02362_1784277325728601_0.jpg,images/02361_1784277325370600_0.jpg,0.99655014
stroller_reviewed_window10_000040,stroller_reviewed,2,images/02350_1784277234846582_0.jpg,images/02350_1784277234846582_0.jpg,1.00000000
stroller_reviewed_window10_000040,stroller_reviewed,2,images/02351_1784277235193583_0.jpg,images/02350_1784277234846582_0.jpg,0.99650186
stroller_reviewed_window10_000041,stroller_reviewed,2,images/02320_1784276993402534_0.jpg,images/02320_1784276993402534_0.jpg,1.00000000
stroller_reviewed_window10_000041,stroller_reviewed,2,images/02321_1784276993749535_0.jpg,images/02320_1784276993402534_0.jpg,0.99647796
stroller_reviewed_window10_000042,stroller_reviewed,2,images/02997_1784445508495564_0.jpg,images/02997_1784445508495564_0.jpg,1.00000000
stroller_reviewed_window10_000042,stroller_reviewed,2,images/02998_1784445508707565_0.jpg,images/02997_1784445508495564_0.jpg,0.99627697
stroller_reviewed_window10_000043,stroller_reviewed,2,images/02992_1784445387579540_0.jpg,images/02992_1784445387579540_0.jpg,1.00000000
stroller_reviewed_window10_000043,stroller_reviewed,2,images/02993_1784445387903542_0.jpg,images/02992_1784445387579540_0.jpg,0.99621797
stroller_reviewed_window10_000044,stroller_reviewed,2,images/02372_1784277981541730_0.jpg,images/02372_1784277981541730_0.jpg,1.00000000
stroller_reviewed_window10_000044,stroller_reviewed,2,images/02373_1784277982595731_0.jpg,images/02372_1784277981541730_0.jpg,0.99605519
stroller_reviewed_window10_000045,stroller_reviewed,2,images/02354_1784277265062588_0.jpg,images/02354_1784277265062588_0.jpg,1.00000000
stroller_reviewed_window10_000045,stroller_reviewed,2,images/02355_1784277265451589_0.jpg,images/02354_1784277265062588_0.jpg,0.99588847
stroller_reviewed_window10_000046,stroller_reviewed,2,images/02533_1784354728494327_0.jpg,images/02533_1784354728494327_0.jpg,1.00000000
stroller_reviewed_window10_000046,stroller_reviewed,2,images/02534_1784354743703330_0.jpg,images/02533_1784354728494327_0.jpg,0.99542624
stroller_reviewed_window10_000047,stroller_reviewed,2,images/02987_1784445342408531_0.jpg,images/02987_1784445342408531_0.jpg,1.00000000
stroller_reviewed_window10_000047,stroller_reviewed,2,images/02988_1784445342613532_0.jpg,images/02987_1784445342408531_0.jpg,0.99509460
stroller_reviewed_window10_000048,stroller_reviewed,2,images/02561_1784358121333985_0.jpg,images/02561_1784358121333985_0.jpg,1.00000000
stroller_reviewed_window10_000048,stroller_reviewed,2,images/02562_1784358121859986_0.jpg,images/02561_1784358121333985_0.jpg,0.99375486
stroller_reviewed_window10_000049,stroller_reviewed,2,images/02367_1784277370485609_0.jpg,images/02367_1784277370485609_0.jpg,1.00000000
stroller_reviewed_window10_000049,stroller_reviewed,2,images/02368_1784277370883610_0.jpg,images/02367_1784277370485609_0.jpg,0.99369776
stroller_reviewed_window10_000050,stroller_reviewed,2,images/02783_1784438070434129_0.jpg,images/02783_1784438070434129_0.jpg,1.00000000
stroller_reviewed_window10_000050,stroller_reviewed,2,images/02784_1784438070729130_0.jpg,images/02783_1784438070434129_0.jpg,0.99363238
stroller_reviewed_window10_000051,stroller_reviewed,2,images/00956_1783398778105981_0.jpg,images/00956_1783398778105981_0.jpg,1.00000000
stroller_reviewed_window10_000051,stroller_reviewed,2,images/00985_1783477791853543_0.jpg,images/00956_1783398778105981_0.jpg,0.99332106
stroller_reviewed_window10_000052,stroller_reviewed,2,images/02565_1784358166488994_0.jpg,images/02565_1784358166488994_0.jpg,1.00000000
stroller_reviewed_window10_000052,stroller_reviewed,2,images/02567_1784358196721000_0.jpg,images/02565_1784358166488994_0.jpg,0.99316329
stroller_reviewed_window10_000053,stroller_reviewed,2,images/02726_1784430075675640_0.jpg,images/02726_1784430075675640_0.jpg,1.00000000
stroller_reviewed_window10_000053,stroller_reviewed,2,images/02727_1784430075932642_0.jpg,images/02726_1784430075675640_0.jpg,0.99311864
stroller_reviewed_window10_000054,stroller_reviewed,2,images/02340_1784277159483567_0.jpg,images/02340_1784277159483567_0.jpg,1.00000000
stroller_reviewed_window10_000054,stroller_reviewed,2,images/02341_1784277159821569_0.jpg,images/02340_1784277159483567_0.jpg,0.99290407
stroller_reviewed_window10_000055,stroller_reviewed,2,images/02762_1784436996374915_0.jpg,images/02762_1784436996374915_0.jpg,1.00000000
stroller_reviewed_window10_000055,stroller_reviewed,2,images/02763_1784436996902916_0.jpg,images/02762_1784436996374915_0.jpg,0.99287558
stroller_reviewed_window10_000056,stroller_reviewed,2,images/02552_1784356733896711_0.jpg,images/02552_1784356733896711_0.jpg,1.00000000
stroller_reviewed_window10_000056,stroller_reviewed,2,images/02553_1784356735369712_0.jpg,images/02552_1784356733896711_0.jpg,0.99280190
